slug,name,description,email_count,url
assistant-to-jeffrey-epstein-recovered,Assistant to Jeffrey Epstein,Generic assistant label,3684,https://jmail.world/person/assistant-to-jeffrey-epstein-recovered
olivier-colom,Olivier Colom,Edmond de Rothschild associate,3613,https://jmail.world/person/olivier-colom
hiebert-peter-n,"Hiebert, Peter N.","Attorney, Winston & Strawn",3562,https://jmail.world/person/hiebert-peter-n
cynthia-rodriguez-example,Cynthia Rodriguez,Staff or personal contact,3426,https://jmail.world/person/cynthia-rodriguez-example
nicholas-ribis-resorts,Nicholas Ribis,"Casino executive, Resorts International",3375,https://jmail.world/person/nicholas-ribis-resorts
ariane-de-rothschild,Ariane de Rothschild,Edmond de Rothschild CEO,3326,https://jmail.world/person/ariane-de-rothschild
joscha-bach,Joscha Bach,"AI researcher, cognitive scientist",3298,https://jmail.world/person/joscha-bach
leon-botstein,Leon Botstein,"Bard College president, conductor",3126,https://jmail.world/person/leon-botstein
ramsey-elkholy,Ramsey Elkholy,Business associate,3118,https://jmail.world/person/ramsey-elkholy
cashkim-bussue-c-r,Cashkim Bussue,"Property staff, USVI",3078,https://jmail.world/person/cashkim-bussue-c-r
jeanne-brennan-gmail,Jeanne Brennan,Accountant,3018,https://jmail.world/person/jeanne-brennan-gmail
lyn-fontanilla-recovered,lyn fontanilla,,2960,https://jmail.world/person/lyn-fontanilla-recovered
terje-rod-larsen-example,Terje Rod-Larsen,"Norwegian diplomat, IPI president",2900,https://jmail.world/person/terje-rod-larsen-example
ada-clapp,Ada Clapp,Elysium LLC staff,2831,https://jmail.world/person/ada-clapp
steve-bannon,Steve Bannon,Former White House strategist,2690,https://jmail.world/person/steve-bannon
mark-lloyd,Mark Lloyd,IT consultant,2684,https://jmail.world/person/mark-lloyd
yury-molodtsov-gmail,Yury Molodtsov,Tech consultant,2655,https://jmail.world/person/yury-molodtsov-gmail
al-seckel,Al Seckel,"Perceptual psychologist, science promoter",2629,https://jmail.world/person/al-seckel
fran--3,Fran,,2578,https://jmail.world/person/fran--3
nili-priell,Nili Priell,Wife of Ehud Barak,2576,https://jmail.world/person/nili-priell
larry-cohen-bgc3,Larry Cohen,BGC3 / Gates Foundation associate,2572,https://jmail.world/person/larry-cohen-bgc3
ny-fbi-recovered,(NY) (FBI),FBI New York field office,2552,https://jmail.world/person/ny-fbi-recovered
daniel-siad-whatsupmanagement,Daniel Siad,Management company contact,2549,https://jmail.world/person/daniel-siad-whatsupmanagement
martin-zeman,Martin Zeman,Business contact,2524,https://jmail.world/person/martin-zeman
michael-glidden-homedepot,Michael Glidden,Caribbean staff,2509,https://jmail.world/person/michael-glidden-homedepot
scott-denett,Scott Denett,Staff or associate,2493,https://jmail.world/person/scott-denett
larry-summers,Larry Summers,Former Treasury Secretary,2377,https://jmail.world/person/larry-summers
barry-j-cohen-elysllc,Barry J. Cohen,"Attorney, Apollo/Elysium",2356,https://jmail.world/person/barry-j-cohen-elysllc
mark-l-epstein-example,Mark L. Epstein,Epstein's brother,2333,https://jmail.world/person/mark-l-epstein-example
jj-litchford,Jj Litchford,,2253,https://jmail.world/person/jj-litchford
stephanie-hodges-gmail-2,Stephanie Hodges,Personal contact,2201,https://jmail.world/person/stephanie-hodges-gmail-2
vincenzo-lozzo,Vincenzo lozzo,Staff or contractor,2178,https://jmail.world/person/vincenzo-lozzo
harry-beller-,Harry Beller,Business associate,2172,https://jmail.world/person/harry-beller-
stephanie-remington-gmail,Stephanie Remington,Staff member,2160,https://jmail.world/person/stephanie-remington-gmail
martin-weinberg,Martin Weinberg,Criminal defense attorney,2132,https://jmail.world/person/martin-weinberg
warwick-wicksman-example,Warwick Wicksman,Business associate,2126,https://jmail.world/person/warwick-wicksman-example
steven-sinofsky-psylo,Steven Sinofsky,Former Microsoft Windows president,2065,https://jmail.world/person/steven-sinofsky-psylo
valdson-cotrin-free,Valdson Cotrin,Paris property staff,2042,https://jmail.world/person/valdson-cotrin-free
carluz-toylo,Carluz Toylo,Caribbean staff,2019,https://jmail.world/person/carluz-toylo
claudia-leschuck,Claudia Leschuck,Personal contact,2016,https://jmail.world/person/claudia-leschuck
misha-gromov-example,Misha Gromov,"Mathematician, Abel Prize laureate",1980,https://jmail.world/person/misha-gromov-example
kyle-reavis,Kyle Reavis,House contractor,1978,https://jmail.world/person/kyle-reavis
barry-josephson,Barry Josephson,Film/TV producer,1940,https://jmail.world/person/barry-josephson
brigid-macias-hbs,Brigid Macias,Harvard Business School contact,1935,https://jmail.world/person/brigid-macias-hbs
ariane-dwyer,Ariane Dwyer,Personal contact,1909,https://jmail.world/person/ariane-dwyer
michael-link,Michael Link,Personal contact,1904,https://jmail.world/person/michael-link
clare-probert,Clare Probert,Personal contact,1881,https://jmail.world/person/clare-probert
mortimer-zuckerman-,Mortimer Zuckerman,"Real estate mogul, media publisher",1862,https://jmail.world/person/mortimer-zuckerman-
brock-pierce-bitcoin,Brock Pierce,Bitcoin entrepreneur,1859,https://jmail.world/person/brock-pierce-bitcoin
greg-wyler-crowhurst,Greg Wyler,Satellite internet entrepreneur,1850,https://jmail.world/person/greg-wyler-crowhurst
valerie-post,Valerie Post,Personal contact,1832,https://jmail.world/person/valerie-post
landon-thomas,Landon Thomas,NYT financial reporter,1829,https://jmail.world/person/landon-thomas
sonam-dema,Sonam Dema,Staff or personal contact,1819,https://jmail.world/person/sonam-dema
nathan-myhrvold-,Nathan Myhrvold,Former Microsoft CTO,1805,https://jmail.world/person/nathan-myhrvold-
tancredi-marchiolo,Tancredi Marchiolo,European business contact,1797,https://jmail.world/person/tancredi-marchiolo
thomas-turrin,Thomas Turrin,Epstein associate,1793,https://jmail.world/person/thomas-turrin
xavier-avila,Xavier Avila,,1783,https://jmail.world/person/xavier-avila
craig-martin,Craig Martin,Business associate,1777,https://jmail.world/person/craig-martin
brad-edwards-epllc,Brad Edwards,Victims' attorney,1770,https://jmail.world/person/brad-edwards-epllc
lawrence-delson,Lawrence Delson,Theater producer,1770,https://jmail.world/person/lawrence-delson
john-brockman,John Brockman,"Literary agent, Edge Foundation founder",1751,https://jmail.world/person/john-brockman
renato-lacson-icloud,Renato Lacson,Household staff,1748,https://jmail.world/person/renato-lacson-icloud
james-i-personal-genius-nersonalgenius,James (Personal Genius),Personal Genius consulting service,1744,https://jmail.world/person/james-i-personal-genius-nersonalgenius
dangene-and-jennie-enterprise,Dangene and Jennie Enterprise,Beauty/wellness business,1734,https://jmail.world/person/dangene-and-jennie-enterprise
davide-a-sferrazza,Davide-A Sferrazza,,1726,https://jmail.world/person/davide-a-sferrazza
richard-merkin-eann,Richard Merkin,Heritage Provider Network CEO,1683,https://jmail.world/person/richard-merkin-eann
elison-justin-d,"Nelson, Justin D.",Attorney,1679,https://jmail.world/person/elison-justin-d
alan-s-halperin,Alan S Halperin,"Attorney, Willkie Farr",1630,https://jmail.world/person/alan-s-halperin
joshua-cooper-ramo-example,Joshua Cooper Ramo,Former Kissinger Associates vice chairman,1614,https://jmail.world/person/joshua-cooper-ramo-example
john-christensen,John Christensen,Business contact,1596,https://jmail.world/person/john-christensen
rosa-da-silva-jpmorgan,Rosa da Silva,JPMorgan banker,1586,https://jmail.world/person/rosa-da-silva-jpmorgan
zorro-ranch-nameonly-4,Zorro Ranch,NM property operations,1575,https://jmail.world/person/zorro-ranch-nameonly-4
aziza-alahmadi,Aziza Alahmadi,Middle Eastern contact,1558,https://jmail.world/person/aziza-alahmadi
feierstein-kimberly-wiley,Kimberly Feierstein,Wiley Rein associate,1553,https://jmail.world/person/feierstein-kimberly-wiley
roger-schank-example,Roger Schank,"AI researcher, learning scientist",1545,https://jmail.world/person/roger-schank-example
yfke,Yfke Sturm,Dutch supermodel,1520,https://jmail.world/person/yfke
robert-lawrence-kuhn,Robert Lawrence Kuhn,"TV host, China policy advisor",1515,https://jmail.world/person/robert-lawrence-kuhn
mark-tollison-hotmail,Mark Tollison,Personal contact,1497,https://jmail.world/person/mark-tollison-hotmail
ramon-alonso-,Ramon Alonso,Staff or contractor,1486,https://jmail.world/person/ramon-alonso-
barak-priell-nili,Barak Priell Nili,Ehud Barak and Nili Priell,1485,https://jmail.world/person/barak-priell-nili
lola-m,Lola M,Personal contact,1435,https://jmail.world/person/lola-m
liam-osullivan,Liam Osullivan,Business contact,1425,https://jmail.world/person/liam-osullivan
weingarten-reid-steptoe,"Weingarten, Reid","Defense attorney, Steptoe & Johnson",1420,https://jmail.world/person/weingarten-reid-steptoe
chip-packard-nameonly,'Chip Packard',,1411,https://jmail.world/person/chip-packard-nameonly
rosalyn-fontanillc,Rosalyn Fontanilla,Household staff,1402,https://jmail.world/person/rosalyn-fontanillc
michelle,Michelle,Personal contact,1396,https://jmail.world/person/michelle
irina-,Irina,Personal contact,1390,https://jmail.world/person/irina-
reid-hoffman-greylock,Reid Hoffman,LinkedIn co-founder,1389,https://jmail.world/person/reid-hoffman-greylock
vijay-a-sawant-db,Vijay-A Sawant,Deutsche Bank staff,1388,https://jmail.world/person/vijay-a-sawant-db
gino-yu,Gino Yu,Hong Kong Polytechnic professor,1374,https://jmail.world/person/gino-yu
joshua-shoshan,Joshua Shoshan,Business contact,1374,https://jmail.world/person/joshua-shoshan
boris-nikolic-bgc3-recovered,Boris Nikolic (bgC3),,1370,https://jmail.world/person/boris-nikolic-bgc3-recovered
daphne-cales-xxxxxxxxx,Daphne Cales,Personal contact,1347,https://jmail.world/person/daphne-cales-xxxxxxxxx
nina-tona,Nina Tona,,1343,https://jmail.world/person/nina-tona
peter-thiel,Peter Thiel,PayPal/Palantir co-founder,1339,https://jmail.world/person/peter-thiel
meister-todd,"Meister, Todd","Art dealer, financier",1335,https://jmail.world/person/meister-todd
francis-derby-region,Francis Derby,Regional contact,1327,https://jmail.world/person/francis-derby-region
lco-loking,Leo Loking,Maintenance/housekeeping staff at Epstein's NYC properties,1311,https://jmail.world/person/lco-loking
jonathan-farkas-example,Jonathan Farkas,"Real estate, son of Andrew Farkas",1287,https://jmail.world/person/jonathan-farkas-example
nadia,Nadia,Personal contact,1279,https://jmail.world/person/nadia
thorbj-rn-jagland-gmail,Thorbjørn Jagland,"Former Norwegian PM, Council of Europe head",1277,https://jmail.world/person/thorbj-rn-jagland-gmail
adam-bly-example,Adam Bly,Seed Media Group founder,1275,https://jmail.world/person/adam-bly-example
carlos-rodriguez-reply,Carlos Rodriguez,Business contact,1274,https://jmail.world/person/carlos-rodriguez-reply
francisco-d-agostino,Francisco D'Agostino,Business contact,1272,https://jmail.world/person/francisco-d-agostino
doug-schoettle-caplinger,Doug Schoettle,Caplinger & Associates contact,1266,https://jmail.world/person/doug-schoettle-caplinger
terry-kafka,Terry Kafka,Business associate,1259,https://jmail.world/person/terry-kafka
richard-iarossi-butterflytrust,Richard Iarossi,Butterfly Trust associate,1258,https://jmail.world/person/richard-iarossi-butterflytrust
aracely-sanchez-uk,Aracely Sanchez,,1249,https://jmail.world/person/aracely-sanchez-uk
dave-rodgers-gmail,Dave Rodgers,Personal contact,1245,https://jmail.world/person/dave-rodgers-gmail
woody-allen,Woody Allen,Film director,1240,https://jmail.world/person/woody-allen
caroline-kitidis,Caroline Kitidis,,1219,https://jmail.world/person/caroline-kitidis
tom-pritzker,Tom Pritzker,Hyatt Hotels chairman,1218,https://jmail.world/person/tom-pritzker
appointment-dermnet,Appointment,Calendar appointment service,1215,https://jmail.world/person/appointment-dermnet
amy-dempsey-gmail-2,Amy Dempsey,Personal contact,1212,https://jmail.world/person/amy-dempsey-gmail-2
bruce-moskowitz,Bruce Moskowitz,Epstein's dentist,1210,https://jmail.world/person/bruce-moskowitz
jeannine-jeskewitz,Jeannine Jeskewitz,Personal contact,1207,https://jmail.world/person/jeannine-jeskewitz
chris-dilorio-recovered,Chris Dilorio,SEC whistleblower (not Epstein correspondent),1201,https://jmail.world/person/chris-dilorio-recovered
heather-gray-elysllc-2,Heather Gray,Elysium LLC staff,1180,https://jmail.world/person/heather-gray-elysllc-2
vinit-sahni,Vinit Sahni,,1179,https://jmail.world/person/vinit-sahni
jean-huguen,Jean Huguen,French contact,1168,https://jmail.world/person/jean-huguen
gregory-riches-nyc-2,Gregory Riches,NYC business contact,1167,https://jmail.world/person/gregory-riches-nyc-2
prince-andrew-duke-of-york,"Prince Andrew, Duke of York",,1163,https://jmail.world/person/prince-andrew-duke-of-york
john-p-woods-aia-vpowernet,"John P. Woods, AIA",Architect,1148,https://jmail.world/person/john-p-woods-aia-vpowernet
max-kohlenberg-example,Max Kohlenberg,Business associate,1120,https://jmail.world/person/max-kohlenberg-example
matthew-i-menchel,Matthew I. Menchel,Attorney or business contact,1116,https://jmail.world/person/matthew-i-menchel
shaher-abdul-hak,Shaher Abdul Hak,Middle Eastern business contact,1112,https://jmail.world/person/shaher-abdul-hak
mathew-negus,Mathew Negus,,1104,https://jmail.world/person/mathew-negus
